"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBÁCEO O LEÑOSO","AB_REV"
"1870909",35.67,20.52,0.00,"Panorámica","H",0
"1870910",44.74,21.93,7.40,"Panorámica","H",0
"1870914",30.87,26.02,0.00,"Panorámica","H",0
"1870916",39.99,14.05,0.00,"Panorámica","H",0
"1870927",58.21,16.66,0.00,"Panorámica","H",0
"1870931",13.92,38.70,0.00,"Panorámica","H",0
"1870933",8.46,23.99,0.00,"Panorámica","H",0
"1870934",15.49,31.67,0.00,"Panorámica","H",0
"1870939",28.77,31.05,0.00,"Panorámica","H",0
"1870940",50.23,23.32,0.00,"Panorámica","H",0
"1870944",54.74,16.65,0.00,"Panorámica","H",0
"1871059",16.76,30.95,1.25,"Panorámica","H",0
"1871064",42.76,23.95,2.37,"Panorámica","H",0
"1871065",34.06,26.74,4.48,"Panorámica","H",0
"1871067",13.83,29.27,3.20,"Panorámica","H",0
"1871068",7.85,35.00,2.84,"Panorámica","H",0
"1871070",15.91,28.65,5.32,"Panorámica","H",0
"1871073",22.59,30.85,0.00,"Panorámica","H",0
"1871075",10.15,22.69,0.00,"Panorámica","H",0
"1871076",20.41,24.89,2.54,"Panorámica","H",0
"1871077",18.49,20.19,0.00,"Panorámica","H",0
"1871081",14.81,35.12,3.87,"Panorámica","H",0
"1871084",38.84,40.99,1.34,"Panorámica","H",0
"1871086",46.35,30.66,0.00,"Panorámica","H",0
"1871087",6.97,44.47,0.00,"Panorámica","H",0
"1871098",18.52,44.21,6.02,"Panorámica","H",0
"1871099",12.94,48.57,0.00,"Panorámica","H",0
"1871101",22.05,50.87,2.51,"Panorámica","H",0
"1871104",45.11,26.23,0.00,"Panorámica","H",0
"1871105",44.75,28.71,0.00,"Panorámica","H",0
"1871108",16.57,43.08,0.00,"Panorámica","H",0
"1871111",50.65,26.08,2.64,"Panorámica","H",0
"1871112",21.51,53.65,4.12,"Panorámica","H",0
"1871113",22.86,39.86,0.00,"Panorámica","H",0
"1871115",23.44,42.26,0.00,"Panorámica","H",0
"1871116",13.99,52.79,0.00,"Panorámica","H",0
"1871118",17.76,39.50,0.00,"Panorámica","H",0
"1871119",42.49,27.80,0.00,"Panorámica","H",0
"1871122",22.77,45.62,0.00,"Panorámica","H",0
"1871124",43.65,43.39,0.00,"Panorámica","H",0
"1871129",6.60,47.67,0.00,"Panorámica","H",0
"1871139",16.69,22.26,3.56,"Panorámica","H",0
"1871140",20.39,47.11,0.00,"Panorámica","H",0
"1871144",16.40,52.22,8.56,"Panorámica","H",0
"1871145",22.19,39.15,2.15,"Panorámica","H",0
"1871153",13.01,52.38,1.63,"Panorámica","H",0
"1871154",25.18,39.70,0.00,"Panorámica","H",0
"1871155",10.41,23.60,2.08,"Panorámica","H",0
"1871159",18.75,33.78,2.11,"Panorámica","H",0
"1871162",27.64,38.74,0.00,"Panorámica","H",0
"1871165",18.37,46.69,4.68,"Panorámica","H",0
"1871166",33.47,27.55,0.00,"Panorámica","H",0
"1871261",22.83,32.89,0.00,"Panorámica","H",0
"1871453",41.91,33.88,0.00,"Panorámica","H",0
"1871454",34.72,37.26,7.93,"Panorámica","H",0
"1871561",65.63,17.54,2.52,"Panorámica","H",0
"1871562",50.50,46.82,0.00,"Panorámica","H",0
"1871595",27.65,33.45,0.00,"Panorámica","H",0
"1871599",4.24,12.74,0.00,"Panorámica","H",0
"1871600",41.24,29.83,1.59,"Panorámica","H",0
"1871601",12.15,38.33,0.00,"Panorámica","H",0
"1871609",25.49,23.89,0.00,"Panorámica","H",0
"1871610",25.80,34.28,0.00,"Panorámica","H",0
"1871626",74.57,20.62,0.00,"Detalle","H",0
"1871635",55.81,26.73,0.00,"Panorámica","H",0
"1871638",27.71,41.88,0.00,"Panorámica","H",0
