"ABANDONADO","CULT","MALEZA","DESCAMPADO","VEGETACION","CIELO","SUELO_DESNUDO","PAISAJE"
"ABANDONO",0.00,55.02,0.00,14.38,30.58,0.00,0.00
"NO ABANDONO",19.41,1.39,28.41,50.78,0.00,0.00,0.00
"NO ABANDONO",53.64,0.00,25.28,21.06,0.00,0.00,0.00
"NO ABANDONO",50.39,4.14,33.98,6.72,4.74,0.00,0.00
"NO ABANDONO",42.45,9.60,33.61,0.00,9.61,4.70,0.00
"NO ABANDONO",29.64,0.00,44.78,2.23,23.34,0.00,0.00
"ABANDONO",1.84,53.74,0.00,13.60,21.06,0.00,9.73
"NO ABANDONO",27.85,0.00,0.00,5.11,5.62,47.38,14.01
"ABANDONO",4.92,54.50,0.00,22.95,15.78,1.82,0.00
"ABANDONO",0.00,43.34,0.00,32.91,23.74,0.00,0.00
"ABANDONO",0.00,82.14,0.00,2.79,15.05,0.00,0.00
"ABANDONO",22.95,61.68,5.27,5.17,4.91,0.00,0.00
"ABANDONO",20.46,67.33,0.00,11.11,1.07,0.00,0.00
"ABANDONO",0.00,29.40,7.78,62.80,0.00,0.00,0.00
"NO ABANDONO",10.67,12.46,46.22,4.61,4.11,0.00,21.89
"NO ABANDONO",39.82,2.31,37.12,10.76,9.98,0.00,0.00
"NO ABANDONO",40.12,1.34,56.92,0.00,1.60,0.00,0.00
"NO ABANDONO",3.38,58.32,0.00,15.54,21.20,0.00,1.54
"NO ABANDONO",43.86,4.60,31.89,6.74,12.87,0.00,0.00
"NO ABANDONO",63.28,1.82,17.82,0.00,17.05,0.00,0.00
"ABANDONO",12.67,39.91,0.00,26.33,21.07,0.00,0.00
"NO ABANDONO",13.11,28.74,16.14,32.33,9.66,0.00,0.00
"ABANDONO",3.03,25.75,0.00,11.11,48.43,0.00,1.91
"ABANDONO",29.17,55.85,0.00,0.00,9.03,0.00,5.94
"ABANDONO",28.91,53.83,3.19,0.00,0.00,0.00,14.05
"ABANDONO",20.05,56.66,20.87,0.00,2.41,0.00,0.00
"NO ABANDONO",81.53,1.12,8.83,2.04,6.46,0.00,0.00
"ABANDONO",0.00,35.05,0.00,26.06,38.87,0.00,0.00
"ABANDONO",0.00,49.77,0.00,27.32,22.90,0.00,0.00
"ABANDONO",0.00,49.20,0.00,16.28,30.04,0.00,2.74
"NO ABANDONO",3.55,25.03,38.33,9.47,23.59,0.00,0.00
"NO ABANDONO",40.39,8.49,36.24,0.00,12.10,0.00,2.76
"NO ABANDONO",39.28,4.42,0.00,0.00,34.08,22.20,0.00
"NO ABANDONO",54.96,0.00,37.67,2.77,4.59,0.00,0.00
"NO ABANDONO",84.27,0.00,0.00,0.00,15.72,0.00,0.00
"NO ABANDONO",84.27,0.00,0.00,0.00,15.72,0.00,0.00
"NO ABANDONO",19.61,11.05,45.68,8.84,14.79,0.00,0.00
"ABANDONO",0.00,31.95,0.00,37.05,30.99,0.00,0.00
"ABANDONO",5.65,55.29,0.00,26.10,12.94,0.00,0.00
"ABANDONO",15.99,7.33,7.13,37.89,20.48,0.00,11.15
"NO ABANDONO",44.47,5.79,18.96,0.00,27.44,0.00,3.32
"NO ABANDONO",54.46,0.00,23.44,13.45,1.33,0.00,3.99
"NO ABANDONO",73.42,0.00,2.82,3.46,11.49,0.00,5.91
"ABANDONO",5.67,42.31,14.78,9.78,27.43,0.00,0.00
"NO ABANDONO",29.98,0.00,41.12,2.65,26.22,0.00,0.00
"NO ABANDONO",15.73,3.91,34.06,5.36,34.10,0.00,6.82
