ABANDONADO;CULT;MALEZA;DESCAMPADO;VEGETACION;CIELO;SUELO_DESNUDO;PAISAJE
NO ABANDONO;42,45892952;9,60254372;33,61950185;0;9,613142554;4,705882353;0
NO ABANDONO;29,64397906;0;44,78534031;2,230366492;23,34031414;0;0
ABANDONO;1,849595747;53,7490309;0;13,60062022;21,06545575;0;9,735297375
NO ABANDONO;27,8543202;0;0;5,115881662;5,628537862;47,38865748;14,0126028
ABANDONO;4,929130527;54,50602919;0;22,9532473;15,78167971;1,829913264;0
ABANDONO;0;43,34007856;0;32,91274848;23,74717296;0;0
ABANDONO;0;82,14704159;0;2,797305214;15,05565319;0;0
ABANDONO;22,95483596;61,68512995;5,272688539;5,176821474;4,910524073;0;0
ABANDONO;20,46739942;67,33539644;0;11,11941095;1,077793192;0;0
ABANDONO;0;29,4047619;7,789115646;62,80612245;0;0;0
NO ABANDONO;10,67827195;12,46152213;46,22651523;4,617344231;4,118458762;0;21,8978877
NO ABANDONO;39,82081174;2,310017271;37,12219344;10,76208981;9,984887737;0;0
NO ABANDONO;40,12021858;1,344262295;56,92896175;0;1,606557377;0;0
NO ABANDONO;3,380539059;58,32571951;0;15,54362723;21,2083143;0;1,541799909
NO ABANDONO;43,86909247;4,607600388;31,8979438;6,749919259;12,87544407;0;0
NO ABANDONO;63,28645448;1,829332769;17,82806387;0;17,05614888;0;0
ABANDONO;12,67138115;39,91918026;0;26,338577;21,0708616;0;0
NO ABANDONO;13,11088642;28,7495787;16,14425345;32,33344568;9,661835749;0;0
ABANDONO;3,032415476;25,75810387;0;11,11885674;48,43150924;0;1,917044266
ABANDONO;29,17026793;55,85566119;0;0;9,031979257;0;5,942091616
ABANDONO;28,91839378;53,832038;3,195164076;0;0;0;14,05440415
ABANDONO;20,05211161;56,6605146;20,87721203;0;2,410161763;0;0
NO ABANDONO;81,5324165;1,127080964;8,830524248;2,047358081;6,462620205;0;0
ABANDONO;0;35,05170551;0;26,06883778;38,87945671;0;0
ABANDONO;0;49,77423081;0;27,32332248;22,90244671;0;0
ABANDONO;0;49,2067279;0;16,2829536;30,04890851;0;2,743647859
NO ABANDONO;3,558052434;25,03855475;38,3344349;9,473452302;23,59550562;0;0
NO ABANDONO;40,39206747;8,490996125;36,24344655;0;12,10394347;0;2,769546387
NO ABANDONO;39,28488776;4,420273085;0;0;34,08933117;22,20550798;0
NO ABANDONO;54,96093332;0;37,6752649;2,772128867;4,59167291;0;0
NO ABANDONO;84,27841635;0;0;0;15,72158365;0;0
NO ABANDONO;84,27841635;0;0;0;15,72158365;0;0
NO ABANDONO;19,61563238;11,05862143;45,68391668;8,846897144;14,79493236;0;0
ABANDONO;0;31,95228459;0;37,05399936;30,99371605;0;0
ABANDONO;5,657362029;55,29512039;0;26,10270616;12,94481142;0;0
ABANDONO;15,99394005;7,336868304;7,13126285;37,89633157;20,48479602;0;11,15680121
