"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBÁCEO O LEÑOSO","AB_REV"
"2055214",11.98,21.97,4.41,"Panorámica","L",0
"2055215",30.08,19.00,1.17,"Panorámica","L",0
"2055216",13.03,28.44,6.84,"Panorámica","L",0
"2055217",0.00,25.34,3.17,"Panorámica","L",0
"2055219",20.44,25.48,2.49,"Panorámica","L",0
"2055225",29.67,6.11,0.00,"Panorámica","L",0
"2055233",22.13,14.90,13.68,"Panorámica","L",0
"2055235",33.14,6.18,9.11,"Panorámica","L",0
"2055238",28.92,12.26,9.68,"Detalle","L",0
"2055248",17.57,10.96,4.60,"Panorámica","L",0
"2055278",11.26,5.25,12.83,"Panorámica","L",0
"2055282",5.83,6.12,10.96,"Panorámica","L",0
"2055283",12.22,27.55,2.36,"Panorámica","L",0
"2055288",25.59,15.45,17.10,"Panorámica","L",0
"2055290",24.62,16.56,3.23,"Panorámica","L",0
"2055291",35.59,1.19,12.52,"Panorámica","L",0
"2055296",18.06,17.47,6.12,"Panorámica","L",0
"2055302",8.00,11.62,12.63,"Panorámica","L",0
"2055307",51.99,13.42,0.00,"Detalle","L",0
"2055313",27.72,16.73,5.18,"Panorámica","L",0
"2055318",18.40,15.70,1.05,"Panorámica","L",0
"2055325",30.24,13.07,0.00,"Panorámica","L",0
"2055326",27.39,22.10,0.00,"Panorámica","L",0
"2055327",36.64,16.15,0.00,"Panorámica","L",0
"2055328",16.53,27.01,3.97,"Panorámica","L",0
"2055329",29.70,22.70,0.00,"Panorámica","L",0
"2055332",18.60,8.82,0.00,"Panorámica","L",0
"2055333",15.46,15.08,3.69,"Panorámica","L",0
"2055334",17.61,15.13,4.53,"Panorámica","L",0
"2055336",25.35,17.73,1.41,"Panorámica","L",0
"2055337",37.71,22.90,5.63,"Panorámica","L",0
"2055339",34.26,19.14,0.00,"Panorámica","L",0
"2055341",12.84,28.67,8.96,"Panorámica","L",0
"2055349",28.84,22.52,0.00,"Panorámica","L",0
"2055357",19.95,31.68,0.00,"Panorámica","L",0
"2055358",18.81,23.45,0.00,"Panorámica","L",0
"2055359",22.27,15.79,0.00,"Panorámica","L",0
"2055360",31.84,18.65,0.00,"Panorámica","L",0
"2055361",15.89,26.40,12.90,"Panorámica","L",0
"2055362",8.99,32.16,9.86,"Panorámica","L",0
"2055363",12.69,28.93,3.02,"Panorámica","L",0
"2055364",8.45,32.10,1.81,"Panorámica","L",0
"2055366",2.41,26.44,3.40,"Panorámica","L",0
"2055367",27.72,24.82,1.14,"Panorámica","L",0
"2055371",42.24,15.96,0.00,"Panorámica","L",0
"2055374",34.50,19.86,0.00,"Panorámica","L",0
"2055377",30.21,10.56,4.75,"Panorámica","L",0
"2055380",5.24,23.81,7.80,"Panorámica","L",0
"2055381",18.51,4.14,1.47,"Panorámica","L",0
"2055382",5.98,35.57,4.81,"Panorámica","L",0
"2055383",13.30,13.80,21.07,"Panorámica","L",0
"2055387",30.59,18.60,1.17,"Panorámica","L",0
"2055388",12.26,34.61,2.72,"Panorámica","L",0
