"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBACEO O LENOSO","AB_REV"
"1909403",62.68,32.62,1.71,"Panorámica","H",0
"1909410",40.99,20.43,0.00,"Detalle","H",0
"1909414",29.93,14.01,0.00,"Panorámica","H",0
"1909430",50.92,21.53,4.07,"Panorámica","H",0
"1909434",32.18,28.38,0.00,"Panorámica","H",0
"1909436",15.92,43.04,0.00,"Panorámica","H",0
"1909439",51.55,44.01,2.13,"Panorámica","H",0
"1909467",24.38,19.58,1.01,"Panorámica","H",0
"1909473",51.26,12.63,0.00,"Panorámica","H",0
"1909474",33.92,20.49,1.71,"Panorámica","H",0
"1909477",14.56,50.44,0.00,"Panorámica","H",0
"1909493",59.68,36.02,2.77,"Panorámica","H",0
"1909495",80.21,17.60,0.00,"Detalle","H",0
"1909497",33.45,11.26,0.00,"Panorámica","H",0
"1909498",44.10,31.34,2.58,"Panorámica","H",0
"1909507",9.82,61.51,0.00,"Panorámica","H",0
"1909520",61.47,3.33,1.46,"Detalle","H",0
"1909528",58.64,9.94,0.00,"Panorámica","H",0
"1909589",15.52,39.52,4.21,"Panorámica","H",0
"1909605",36.54,38.40,0.00,"Panorámica","H",0
"1909611",66.22,31.87,0.00,"Panorámica","H",0
"1909614",14.66,48.98,0.00,"Panorámica","H",0
"1909615",22.05,48.48,0.00,"Panorámica","H",0
"1909619",38.07,31.26,1.27,"Panorámica","H",0
"1909691",20.21,38.70,0.00,"Panorámica","H",0
"1909724",55.16,20.98,0.00,"Panorámica","H",0
"1909738",24.22,63.86,0.00,"Panorámica","H",0
"1909747",26.12,44.45,0.00,"Panorámica","H",0
"1909771",16.43,60.02,0.00,"Panorámica","H",0
"1909806",26.62,51.28,0.00,"Panorámica","H",0
"1909908",6.26,55.82,9.42,"Panorámica","H",0
"1909946",38.02,21.68,0.00,"Panorámica","H",0
"1909950",31.53,36.43,0.00,"Panorámica","H",0
"1909962",55.83,32.49,2.46,"Panorámica","H",0
"1909963",34.94,30.75,2.00,"Panorámica","H",0
"1910018",45.75,33.73,2.43,"Panorámica","H",0
"1910084",0.00,27.44,4.52,"Panorámica","H",0
"1910085",0.00,17.97,5.74,"Panorámica","H",0
"1910091",58.47,28.50,5.94,"Panorámica","H",0
"1910094",17.66,38.11,5.80,"Panorámica","H",0
"1910096",39.52,30.02,3.91,"Panorámica","H",0
"1910195",56.11,27.30,3.67,"Panorámica","H",0
"1910196",0.00,22.10,2.14,"Panorámica","H",0
"1910239",47.11,32.40,2.82,"Panorámica","H",0
"1910240",32.49,33.52,2.84,"Panorámica","H",0
"1910251",48.96,25.64,0.00,"Panorámica","H",0
